Area Nm,URL,F_This Month,Weekday,읍면리,Address,Base Date(YYYYMM),Base Month(MM),Base Mt,Base Year,Contentsid,Param Date,Cnt,힐링,감성,자연,체험,커플,가족,액티비티,사진명소,카페투어,맛집탐방,Cnt_norm,힐링_추천점수,감성_추천점수,자연_추천점수,체험_추천점수,커플_추천점수,가족_추천점수,액티비티_추천점수,사진명소_추천점수,카페투어_추천점수,맛집탐방_추천점수,최고추천성향,최고추천점수
후박나무길,,참,THUR,,,2025. 1. 1.,1,1,2025,,2025. 1. 1.,14,1,0,0,0,0,0,0,0,0,0,0.012411347517730497,0.7037234042553191,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,힐링,0.7037234042553191
모슬봉 (모슬개오름),https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500193,참,THUR,대정읍,제주특별자치도 서귀포시 대정읍 상모리 3540-2,2025. 1. 1.,1,1,2025,CONT_000000000500193,2025. 1. 1.,14,0,0,1,0,0,0,0,0,0,0,0.012411347517730497,0.003723404255319149,0.003723404255319149,0.7037234042553191,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,자연,0.7037234042553191
한담해변,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500682,참,THUR,애월읍,제주특별자치도 제주시 애월읍 애월리 2533-1,2025. 1. 1.,1,1,2025,CONT_000000000500682,2025. 1. 1.,14,0,0,1,0,0,0,0,0,0,0,0.012411347517730497,0.003723404255319149,0.003723404255319149,0.7037234042553191,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,자연,0.7037234042553191
제주올레 11코스,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_000000000019005,참,THUR,대정읍,제주특별자치도 서귀포시 대정읍 동일리 3168,2025. 1. 1.,1,1,2025,CNTS_000000000019005,2025. 1. 1.,14,0,0,0,0,0,0,0,0,0,0,0.012411347517730497,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,힐링,0.003723404255319149
무민랜드,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_200000000013591,참,THUR,안덕면,제주특별자치도 서귀포시 안덕면 상천리 470-6,2025. 1. 1.,1,1,2025,CNTS_200000000013591,2025. 1. 1.,14,0,0,0,0,0,0,0,0,0,0,0.012411347517730497,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,힐링,0.003723404255319149
제주해바라기공방,,참,THUR,,,2025. 1. 1.,1,1,2025,,2025. 1. 1.,15,0,0,0,1,0,0,0,0,0,0,0.013297872340425532,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.7039893617021277,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,체험,0.7039893617021277
중문레져UTV,,참,THUR,,,2025. 1. 1.,1,1,2025,,2025. 1. 1.,15,0,0,0,0,0,0,0,0,0,0,0.013297872340425532,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,힐링,0.003989361702127659
검멀레동굴,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500045,참,THUR,우도면,제주특별자치도 제주시 우도면,2025. 1. 1.,1,1,2025,CONT_000000000500045,2025. 1. 1.,15,0,0,1,0,0,0,0,0,0,0,0.013297872340425532,0.003989361702127659,0.003989361702127659,0.7039893617021277,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,자연,0.7039893617021277
카카오본사(구 스페이스닷원),https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_200000000008022,참,THUR,영평동,제주특별자치도 제주시 영평동 2181,2025. 1. 1.,1,1,2025,CNTS_200000000008022,2025. 1. 1.,15,0,0,0,0,0,0,0,0,0,0,0.013297872340425532,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,힐링,0.003989361702127659
제주올레 20코스,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_000000000020313,참,THUR,구좌읍,제주특별자치도 제주시 구좌읍 행원동길 22,2025. 1. 1.,1,1,2025,CNTS_000000000020313,2025. 1. 1.,15,0,0,0,0,0,0,0,0,0,0,0.013297872340425532,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,힐링,0.003989361702127659
한화리조트 테라피센터,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_200000000010696,참,THUR,회천동,제주특별자치도 제주시 회천동 3-16,2025. 1. 1.,1,1,2025,CNTS_200000000010696,2025. 1. 1.,15,0,0,0,0,1,1,0,0,0,0,0.013297872340425532,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.7039893617021277,0.7039893617021277,0.003989361702127659,0.003989361702127659,0.003989361702127659,0.003989361702127659,커플,0.7039893617021277
