번호,개방서비스명,소재지전체주소,사업장명,문화체육업종명,음식점카페구분,입력주소,X,Y,행정동코드,행정동명,법정동코드,법정동명
6523,,,뚜레쥬르외도점,제과점업,카페,제주특별자치도,126.4311532,33.48581963,,외도동,,외도일동
6524,,,오복당과자점,제과점업,카페,제주특별자치도,126.5150027,33.50023219,,용담1동,,용담일동
6525,,,윤꽈배기,제과점업,카페,제주특별자치도,126.4275437,33.25141859,,중문동,,중문동
6526,,,교동도나스제주애월점,제과점업,카페,제주특별자치도,126.3639487,33.47791845,,애월읍,,애월읍
6527,,,정담오메기떡,제과점업,카페,제주특별자치도,126.5123823,33.25885487,,대륜동,,서호동
6528,,,명당양과,제과점업,카페,제주특별자치도,126.472054,33.48556439,,노형동,,노형동
6529,,,여흘,제과점업,카페,제주특별자치도,126.4745323,33.48106004,,노형동,,노형동
6530,,,제주만주,제과점업,카페,제주특별자치도,126.3686838,33.47210277,,애월읍,,애월읍
6531,,,츄러스1500제주,제과점업,카페,제주특별자치도,126.5377723,33.4900718,,이도2동,,이도이동
6532,,,카페시소,제과점업,카페,제주특별자치도,126.6349379,33.54343633,,조천읍,,조천읍
6533,,,스윗섬,제과점업,카페,제주특별자치도,126.5369546,33.48302985,,아라동,,아라일동
6534,,,학산테라로사커피중문에코라운지지점,제과점업,카페,제주특별자치도,126.3887616,33.2649868,,예래동,,상예동
6535,,,올레오란다&과즐,제과점업,카페,제주특별자치도,126.5630254,33.24964094,,중앙동,,서귀동
6536,,,못난이찹쌀꽈배기제주,제과점업,카페,제주특별자치도,126.4812457,33.47860008,,노형동,,노형동
6537,,,하나빵집,제과점업,카페,제주특별자치도,126.5351261,33.49641468,,이도2동,,이도이동
6538,,,겔빠,제과점업,카페,제주특별자치도,126.4674133,33.48758969,,노형동,,노형동
6539,,,디토르테,제과점업,카페,제주특별자치도,126.4747809,33.48161305,,노형동,,노형동
6540,,,쇠소깍빵명장,제과점업,카페,제주특별자치도,126.6223822,33.25268393,,효돈동,,하효동
6541,,,파리바게트도남점,제과점업,카페,제주특별자치도,126.5274784,33.49558473,,이도2동,,도남동
6542,,,단밤베이커리,제과점업,카페,제주특별자치도,126.5280599,33.50319191,,이도1동,,이도일동
6543,,,크로로,제과점업,카페,제주특별자치도,126.4314675,33.48509334,,외도동,,외도일동
6544,,,꼬다만찹쌀꽈배기,제과점업,카페,제주특별자치도,126.5608821,33.25012105,,천지동,,서귀동
6545,,,소소희,제과점업,카페,제주특별자치도,126.2782107,33.27488254,,대정읍,,대정읍
6546,,,아베크아롬,제과점업,카페,제주특별자치도,126.2788639,33.27441376,,대정읍,,대정읍
6547,,,라포르엘랜디스도넛애월점,제과점업,카페,제주특별자치도,126.3114728,33.46115811,,애월읍,,애월읍
6548,,,파리바게뜨삼화2지구점,제과점업,카페,제주특별자치도,126.5810335,33.5167657,,삼양동,,도련일동
6549,,,본조르노베이커리,제과점업,카페,제주특별자치도,126.4765501,33.49117339,,노형동,,노형동
6550,,,호두파이가맛있는집,제과점업,카페,제주특별자치도,126.5280406,33.50623899,,이도1동,,이도일동
6551,,,고튼올레,제과점업,카페,제주특별자치도,126.5460211,33.47229056,,아라동,,아라일동
6552,,,호도제과법환점,제과점업,카페,제주특별자치도,126.5132311,33.23788467,,대륜동,,법환동
6553,,,호도제과,제과점업,카페,제주특별자치도,126.3323721,33.24653628,,안덕면,,안덕면
6554,,,효돈농협하나로베이커리,제과점업,카페,제주특별자치도,126.6172297,33.26095772,,효돈동,,하효동
6555,,,와플칸,제과점업,카페,제주특별자치도,126.2553095,33.22398572,,대정읍,,대정읍
6556,,,땅스부대찌개제주점,제과점업,카페,제주특별자치도,126.5136026,33.51099818,,용담1동,,용담일동
6557,,,하늘빵,제과점업,카페,제주특별자치도,126.6050047,33.29882425,,남원읍,,남원읍
6558,,,파리바게뜨제주용담점,제과점업,카페,제주특별자치도,126.5107884,33.5087916,,용담2동,,용담이동
6559,,,달콤한계단,제과점업,카페,제주특별자치도,126.5055767,33.25580699,,대천동,,강정동
6560,,,겹겹의의도,제과점업,카페,제주특별자치도,126.4715564,33.48510747,,노형동,,노형동
6561,,,엉커리,제과점업,카페,제주특별자치도,126.4883356,33.25433633,,대천동,,강정동
6562,,,르방블랑제베이커리앤카페,제과점업,카페,제주특별자치도,126.414568,33.24383375,,예래동,,색달동
6563,,,코삿호다,제과점업,카페,제주특별자치도,126.1983506,33.36550022,,한경면,,한경면
6564,,,파리크라상파리바게뜨제주공항렌터카하우스점,제과점업,카페,제주특별자치도,126.4960074,33.50592635,,용담2동,,용담이동
6565,,,프랩베이커리,제과점업,카페,제주특별자치도,126.479429,33.49267831,,연동,,연동
6566,,,와플대학제주노형월랑캠퍼스,제과점업,카페,제주특별자치도,126.4751164,33.48947884,,노형동,,노형동
6567,,,오늘봄,제과점업,카페,제주특별자치도,126.7948139,33.5545175,,구좌읍,,구좌읍
6568,,,파인밀베이커리카페제주점,제과점업,카페,제주특별자치도,126.5094748,33.48244993,,오라동,,오라이동
6569,,,오드리햅떡,제과점업,카페,제주특별자치도,126.200315,33.26736909,,대정읍,,대정읍
6570,,,오라찐빵,제과점업,카페,제주특별자치도,126.5439504,33.48160661,,아라동,,아라이동
6571,,,송사부수제쌀고로케서귀포올레,제과점업,카페,제주특별자치도,126.5639528,33.24870495,,중앙동,,서귀동
6572,,,브레댄코제주공항국제선,제과점업,카페,제주특별자치도,126.4960074,33.50592635,,도두동,,도두이동
6573,,,한마음떡집,제과점업,카페,제주특별자치도,126.4775152,33.49074349,,노형동,,노형동
6574,,,파리바게뜨함덕해수욕장점,제과점업,카페,제주특별자치도,126.6675154,33.54152823,,조천읍,,조천읍
6575,,,담또와,제과점업,카페,제주특별자치도,126.7933778,33.55634279,,구좌읍,,구좌읍
6576,,,뚜레쥬르,제과점업,카페,제주특별자치도,126.5625135,33.24748016,,정방동,,서귀동
6577,,,레아스마카롱,제과점업,카페,제주특별자치도,126.4699086,33.48519532,,노형동,,노형동
6578,,,물말,제과점업,카페,제주특별자치도,126.4605415,33.48556614,,노형동,,노형동
6579,,,몰랑,제과점업,카페,제주특별자치도,126.5229207,33.50797218,,삼도2동,,삼도이동
6580,,,식빵집,제과점업,카페,제주특별자치도,126.4984712,33.48415629,,연동,,연동
6581,,,파리바게뜨제주,제과점업,카페,제주특별자치도,126.6186578,33.53264415,,조천읍,,조천읍
6582,,,안트레밀,제과점업,카페,제주특별자치도,126.5459002,33.49755137,,이도2동,,이도이동
6583,,,더건강한빵,제과점업,카페,제주특별자치도,126.424574,33.25186786,,중문동,,중문동
6584,,,웰빙베이커리,제과점업,카페,제주특별자치도,126.431179,33.48438647,,외도동,,외도일동
6585,,,어머니빵집,제과점업,카페,제주특별자치도,126.4885943,33.49158235,,연동,,연동
6586,,,므은드레디저트공방,제과점업,카페,제주특별자치도,126.5431923,33.49475172,,이도2동,,이도이동
6587,,,빵전시회,제과점업,카페,제주특별자치도,126.5788969,33.51710183,,삼양동,,도련일동
6588,,,브레드버프,제과점업,카페,제주특별자치도,126.4314745,33.49126911,,외도동,,외도일동
6589,,,크림,제과점업,카페,제주특별자치도,126.5234492,33.51740891,,삼도2동,,삼도이동
6590,,,다미안,제과점업,카페,제주특별자치도,126.511677,33.23715381,,대륜동,,법환동
6591,,,뚜레쥬르,제과점업,카페,제주특별자치도,126.6227892,33.53484495,,조천읍,,조천읍
6592,,,명배과자점,제과점업,카페,제주특별자치도,126.5424951,33.49654667,,이도2동,,이도이동
6593,,,빵육사도너츠,제과점업,카페,제주특별자치도,126.5364431,33.51406503,,건입동,,건입동
6594,,,대길보리빵,제과점업,카페,제주특별자치도,126.5132529,33.51194063,,용담2동,,용담이동
6595,,,명당양과구남점,제과점업,카페,제주특별자치도,126.5350898,33.48898527,,이도2동,,이도이동
6596,,,파리바게뜨제주표선점,제과점업,카페,제주특별자치도,126.8335751,33.32588497,,표선면,,표선면
6597,,,메밀리,제과점업,카페,제주특별자치도,126.5323286,33.49767083,,이도2동,,이도이동
6598,,,보라해,제과점업,카페,제주특별자치도,126.5639745,33.25393456,,동홍동,,동홍동
6599,,,파리바게뜨노형,제과점업,카페,제주특별자치도,126.4798303,33.48448799,,노형동,,노형동
6600,,,마돌렌,제과점업,카페,제주특별자치도,126.8012408,33.55621181,,구좌읍,,구좌읍
6601,,,나드리빵집,제과점업,카페,제주특별자치도,126.5554707,33.26140058,,서홍동,,서홍동
6602,,,위즐리베이글,제과점업,카페,제주특별자치도,126.556091,33.26218317,,서홍동,,서홍동
6603,,,빵/도넛,제과점업,카페,제주특별자치도,126.5137524,33.25842947,,대륜동,,서호동
6604,,,토끼떡공방,제과점업,카페,제주특별자치도,126.3753175,33.26481183,,예래동,,상예동
6605,,,세라비,제과점업,카페,제주특별자치도,126.4804109,33.47712028,,노형동,,노형동
6606,,,파리바게뜨제주,제과점업,카페,제주특별자치도,126.5299692,33.4991034,,이도2동,,이도이동
6607,,,쇠소깍빵명장,제과점업,카페,제주특별자치도,126.6223822,33.25268393,,효돈동,,하효동
