번호,개방서비스명,소재지전체주소,사업장명,문화체육업종명,X,Y,행정동코드,행정동명,법정동코드,법정동명
363,국내여행업,제주특별자치도 제주시 도두일동 2623-4 도두1동다목적마을복지회관 ,(주)해피제주투어,국내여행업,126.4654217,33.5035769,5011069000,도두동,5011012700,도두일동
364,국내여행업,제주특별자치도 제주시 용담일동 264-10 ,빨강풍선,국내여행업,126.5129872,33.5048782,5011057000,용담1동,5011010800,용담일동
365,국내여행업,제주특별자치도 제주시 연동 303-16 1층 ,(주)남도항공,국내여행업,126.4958381,33.4859097,5011065000,연동,5011013700,연동
366,국내여행업,제주특별자치도 제주시 용담일동 163-9 동성투원룸 ,(주)스마일투어,국내여행업,126.5183939,33.5103073,5011057000,용담1동,5011010800,용담일동
367,국내여행업,제주특별자치도 제주시 용담일동 285-3 ,다비치투어,국내여행업,126.5149128,33.5099591,5011057000,용담1동,5011010800,용담일동
368,국내여행업,제주특별자치도 제주시 용담이동 1588-2 ,엔조이제주,국내여행업,126.4967913,33.504845,5011058000,용담2동,5011010900,용담이동
369,국내여행업,제주특별자치도 제주시 도두이동 390-6 ,주식회사 제주공항렌탈여행사,국내여행업,126.4891312,33.5016144,5011069000,도두동,5011012800,도두이동
370,국내여행업,제주특별자치도 제주시 용담이동 2680-16 ,(주)포커스기획,국내여행업,126.5100256,33.5081424,5011058000,용담2동,5011010900,용담이동
371,국내여행업,제주특별자치도 서귀포시 서귀동 264-5 아바아피아노 ,주식회사 한마음투어,국내여행업,126.5644813,33.2531755,5013053000,중앙동,5013010100,서귀동
372,국내여행업,제주특별자치도 제주시 노형동 2346-1 (노형로321) 2층 ,제주오름트래블,국내여행업,126.4715291,33.4805995,5011066000,노형동,5011012200,노형동
373,국내여행업,제주특별자치도 제주시 노형동 914-7 4층 ,(주)골프부킹닷컴,국내여행업,126.4841906,33.4862455,5011066000,노형동,5011012200,노형동
374,국내여행업,제주특별자치도 제주시 이도이동 1776-15 4층 ,제주썬투어,국내여행업,126.5269071,33.50014,5011054000,이도2동,5011010400,이도이동
375,국내여행업,제주특별자치도 제주시 조천읍 대흘리 2709-1 ,(주)지티엘,국내여행업,126.6458921,33.5010378,5011025900,조천읍,5011025926,조천읍 대흘리
376,국내여행업,제주특별자치도 제주시 아라이동 3001-4 비즈테이블 3층 ,가거든여행사,국내여행업,126.5419652,33.4935383,5011063000,아라동,5011011800,아라이동
377,국내여행업,제주특별자치도 제주시 조천읍 북촌리 산 65 (북선로125) ,(주)티지엠씨,국내여행업,126.6946601,33.5299433,5011025900,조천읍,5011025927,조천읍 북촌리
378,국내여행업,제주특별자치도 제주시 용담삼동 1181-1 ,(주)더쎄븐렌트카,국내여행업,126.4959121,33.5183398,5011058000,용담2동,5011011000,용담삼동
379,국내여행업,제주특별자치도 제주시 연동 294-33 ,(주)청명투어,국내여행업,126.4941928,33.4839964,5011065000,연동,5011013700,연동
380,국내여행업,제주특별자치도 제주시 도남동 47-24 (신성로58) 2층 ,(주)즐거운여행사,국내여행업,126.5256729,33.4955003,5011054000,이도2동,5011012900,도남동
381,국내여행업,제주특별자치도 제주시 노형동 905-3 (도령로173) 하와이오피스텔 1212호 ,(주)진우투어,국내여행업,126.48344,33.4879493,5011066000,노형동,5011012200,노형동
382,국내여행업,제주특별자치도 제주시 노형동 710-2 1112호,느영나영여행사,국내여행업,126.4835583,33.4823972,5011066000,노형동,5011012200,노형동
383,국내여행업,제주특별자치도 제주시 연동 301-5 덕일빌딩 301 ,제주나래,국내여행업,126.4962314,33.4911705,5011065000,연동,5011013700,연동
384,국내여행업,제주특별자치도 제주시 연동 305-1 연동에이스아크로빌3차 ,(주)초원여행클럽,국내여행업,126.4959401,33.4837471,5011065000,연동,5011013700,연동
385,국내여행업,제주특별자치도 제주시 노형동 940-4 ,(주)동호여행사,국내여행업,126.4858016,33.4857964,5011066000,노형동,5011012200,노형동
386,국내여행업,제주특별자치도 제주시 이도이동 1061-4 영도센스빌아파트 2층 201호 ,렌트인제주 주식회사,국내여행업,126.5367769,33.4974801,5011054000,이도2동,5011010400,이도이동
387,국내여행업,제주특별자치도 제주시 용담일동 2829 아리랑빌딩 ,(주)제주클럽,국내여행업,126.514442,33.5003518,5011057000,용담1동,5011010800,용담일동
388,국내여행업,제주특별자치도 제주시 이도이동 1975-10 ,(주)제주투어뱅크,국내여행업,126.5404696,33.4922495,5011054000,이도2동,5011010400,이도이동
