번호,개방서비스명,소재지전체주소,사업장명,문화체육업종명,X,Y,행정동코드,행정동명,법정동코드,법정동명
817,관광사업자,제주특별자치도 제주시 연동 252 - 20 ,(주)호텔신라 신제주면세점,관광객이용시설업,126.4877946,33.4862715,5011065000,연동,5011013700,연동
818,관광사업자,제주특별자치도 제주시 연동 272 - 29 ,동양관광호텔,관광숙박업,126.4917083,33.4895288,5011065000,연동,5011013700,연동
819,관광사업자,제주특별자치도 제주시 연동 ,한도관광(주),여행업,126.496886,33.4881582,5011065000,연동,5011013700,연동
820,관광사업자,인천광역시 부평구 부평동 738 - 21 ,(주)스마트여행사,여행업,126.7234227,37.4898152,2823751000,부평1동,2823710100,부평동
821,관광사업자,제주특별자치도 서귀포시 색달동 2812 - 4 ,(주)호텔롯데 롯데호텔제주,관광숙박업,126.410319,33.2486676,5013062000,예래동,5013011900,색달동
822,관광사업자,제주특별자치도 서귀포시 색달동 2812 - 4 ,롯데제주면세점,관광객이용시설업,126.410319,33.2486676,5013062000,예래동,5013011900,색달동
823,관광사업자,제주특별자치도 서귀포시 성산읍 성산리 262 - 1 ,일출봉관광호텔,관광숙박업,126.9333648,33.4665099,5013025900,성산읍,5013025921,성산읍 성산리
824,관광사업자,제주특별자치도 제주시 도남동 81 - 15 ,(주)제주드림여행사,여행업,126.529747,33.4925645,5011054000,이도2동,5011012900,도남동
825,관광사업자,제주특별자치도 제주시 조천읍 북촌리 9 - 1 ,(주)그린앤블루 사조마을 제주휴양콘도미니엄,관광숙박업,126.705078,33.55179,5011025900,조천읍,5011025927,조천읍 북촌리
826,관광사업자,제주특별자치도 제주시 연동 1531 - 5 ,(유)아주관광,여행업,126.4880607,33.4765289,5011065000,연동,5011013700,연동
827,관광사업자,제주특별자치도 제주시 한림읍 귀덕리 3861 ,주)이랜드레저비스 켄싱턴리조트제주,관광숙박업,126.2745534,33.4354522,5011025000,한림읍,5011025021,한림읍 귀덕리
828,관광사업자,제주특별자치도 제주시 이도이동 409 - 13 ,킹여행사(주),여행업,126.5432207,33.5008107,5011054000,이도2동,5011010400,이도이동
829,관광사업자,제주특별자치도 서귀포시 강정동 2677 ,풍림산업(주) 제주풍림리조트콘도,관광숙박업,126.4897601,33.2333479,5013060000,대천동,5013011600,강정동
830,관광사업자,제주특별자치도 제주시 일도이동 392 - 2 101 101동 803호,대명해외관광(유),여행업,126.5406148,33.5053961,5011052000,일도2동,5011010200,일도이동
831,관광사업자,제주특별자치도 제주시 연동 300 - 4 ,국제여행사(주),여행업,126.496332,33.4921996,5011065000,연동,5011013700,연동
832,관광사업자,제주특별자치도 제주시 노형동 939 306호,(주)삼성국제여행사,여행업,126.4845641,33.4858083,5011066000,노형동,5011012200,노형동
833,관광사업자,제주특별자치도 서귀포시 대정읍 하모리 856 - 6 ,주식회사 모슬포국제항공여행사,여행업,126.2547671,33.2233306,5013025000,대정읍,5013025022,대정읍 하모리
834,관광사업자,제주특별자치도 서귀포시 대정읍 하모리 856 - 6 ,모슬포국제항공여행사,여행업,126.2547671,33.2233306,5013025000,대정읍,5013025022,대정읍 하모리
835,관광사업자,제주특별자치도 제주시 이도일동 1691 - 9 ,(주)골든비치 골든비치카지노,카지노업,126.5268961,33.5058738,5011053000,이도1동,5011010300,이도일동
836,관광사업자,제주특별자치도 서귀포시 색달동 2812 - 2 ,(주)호텔하나,관광숙박업,126.4080978,33.2498563,5013062000,예래동,5013011900,색달동
837,관광사업자,제주특별자치도 서귀포시 색달동 2812 - 10 ,(주)교원스위트호텔 제주,관광숙박업,126.4083483,33.2490571,5013062000,예래동,5013011900,색달동
838,관광사업자,제주특별자치도 제주시 삼도이동 57 - 2 ,로베로호텔,관광숙박업,126.5219457,33.5128291,5011056000,삼도2동,5011010600,삼도이동
839,관광사업자,제주특별자치도 제주시 연동 512 - 3 ,(주)명품제주점,관광객이용시설업,126.4970627,33.4791718,5011065000,연동,5011013700,연동
840,관광사업자,제주특별자치도 제주시 연동 324 - 14 ,대해관광여행사(주),여행업,126.5011708,33.4848924,5011065000,연동,5011013700,연동
841,관광사업자,제주특별자치도 서귀포시 서귀동 820 - 1 ,(주)코리아홀딩스썬비치호텔,관광숙박업,126.560054,33.2463533,5013052000,정방동,5013010100,서귀동
842,관광사업자,제주특별자치도 제주시 연동 263 - 12 ,뉴아일랜드관광호텔(주),관광숙박업,126.4894647,33.4842724,5011065000,연동,5011013700,연동
843,관광사업자,제주특별자치도 서귀포시 색달동 3039 - 3 ,(주)마제스타 마제스타카지노,카지노업,126.4079829,33.2473124,5013062000,예래동,5013011900,색달동
844,관광사업자,제주특별자치도 제주시 삼도이동 1197 ,(주)풍화 로얄팔레스카지노,카지노업,126.5198781,33.5173212,5011056000,삼도2동,5011010600,삼도이동
845,관광사업자,제주특별자치도 제주시 연동 268 - 10 ,라자관광호텔,관광숙박업,126.4893379,33.4829005,5011065000,연동,5011013700,연동
846,관광사업자,제주특별자치도 제주시 연동 263 - 15 ,(주)파라다이스 제주카지노지점,카지노업,126.4884998,33.4853155,5011065000,연동,5011013700,연동
847,관광사업자,제주특별자치도 서귀포시 색달동 3039 - 1 ,그랜드익스프레스코리아(주) 랜딩주카지노,카지노업,126.4057669,33.2446694,5013062000,예래동,5013011900,색달동
848,관광사업자,제주특별자치도 제주시 연동 291 - 30 ,(주)지앤엘 제주썬카지노,카지노업,126.4939372,33.4900608,5011065000,연동,5011013700,연동
849,관광사업자,제주특별자치도 서귀포시 색달동 3039 - 3 ,(주)호텔신라 제주신라,관광숙박업,126.4079829,33.2473124,5013062000,예래동,5013011900,색달동
850,관광사업자,제주특별자치도 제주시 삼도일동 533 ,유나여행사(주),여행업,126.5193121,33.5018977,5011055000,삼도1동,5011010500,삼도일동
851,관광사업자,제주특별자치도 서귀포시 색달동 2482 - 1 ,부국개발주식회사 여미지식물원,관광객이용시설업,126.4181304,33.2546275,,,5013011900,색달동
852,관광사업자,제주특별자치도 제주시 연동 261 - 23 ,그레이스 관광호텔,관광숙박업,126.4886524,33.4895367,5011065000,연동,5011013700,연동
