번호,개방서비스명,소재지전체주소,사업장명,문화체육업종명,X,Y,행정동코드,행정동명,법정동코드,법정동명
4920,농어촌민박업,제주특별자치도 제주시 조천읍 함덕리 1464-4,함덕생활,제2종일반주거지역,126.6639395,33.5381267,5011025900,조천읍,5011025924,조천읍 함덕리
4921,농어촌민박업,제주특별자치도 제주시 애월읍 애월리 2009-1,스테이 잔다,,126.313655,33.4641091,5011025300,애월읍,5011025334,애월읍 애월리
4922,농어촌민박업,제주특별자치도 제주시 애월읍 장전리 363-3,귤담길,관리지역,126.3888631,33.4513609,5011025300,애월읍,5011025327,애월읍 장전리
4923,농어촌민박업,제주특별자치도 제주시 애월읍 신엄리 2847-10,애월 더 펜션,자연녹지지역,126.3543123,33.4733104,5011025300,애월읍,5011025326,애월읍 신엄리
4924,농어촌민박업,제주특별자치도 제주시 한림읍 월령리 349-1,월령채,,126.2159697,33.377782,5011025000,한림읍,5011025032,한림읍 월령리
4925,농어촌민박업,제주특별자치도 제주시 애월읍 신엄리 2880-5 백강수피아빌리지3차 120동,메종 드 지안,,126.3583599,33.4754467,5011025300,애월읍,5011025326,애월읍 신엄리
4926,농어촌민박업,제주특별자치도 서귀포시 보목동 533-13 포구가는길,통나무집 포구가는길,주거지역,126.6063772,33.240182,5013051000,송산동,5013011000,보목동
4927,농어촌민박업,제주특별자치도 제주시 조천읍 함덕리 1374,영희네돌담집_안단테,제2종일반주거지역,126.6646454,33.5405325,5011025900,조천읍,5011025924,조천읍 함덕리
4928,농어촌민박업,,월정 산도롱펜션,,123.7417741,32.5220203,,,,
4929,농어촌민박업,제주특별자치도 제주시 조천읍 대흘리 1113-36,브니엘하우스,계획관리지역,126.6652985,33.4910064,5011025900,조천읍,5011025926,조천읍 대흘리
4930,농어촌민박업,제주특별자치도 제주시 조천읍 선흘리 3450-5,게으른 반달,계획관리지역,126.6893157,33.5195637,5011025900,조천읍,5011025930,조천읍 선흘리
4931,농어촌민박업,,제주에선 쪼끌락,제1종전용주거지역,123.7417741,32.5220203,,,,
4932,농어촌민박업,,지미,제2종일반주거지역,123.7417741,32.5220203,,,,
4933,농어촌민박업,제주특별자치도 제주시 구좌읍 김녕리 1307-1,김녕리야 민박,,126.7506897,33.5578846,5011025600,구좌읍,5011025634,구좌읍 김녕리
4934,농어촌민박업,제주특별자치도 서귀포시 대정읍 신도리 2472-2,sindoria,생산관리지역,126.1760112,33.2719567,5013025000,대정읍,5013025033,대정읍 신도리
4935,농어촌민박업,제주특별자치도 제주시 한림읍 명월리 1757-1,잔월,,126.2655346,33.3871934,5011025000,한림읍,5011025027,한림읍 명월리
4936,농어촌민박업,제주특별자치도 제주시 조천읍 함덕리 1339,편안한 민박,제2종일반주거지역,126.6655793,33.5400106,5011025900,조천읍,5011025924,조천읍 함덕리
4937,농어촌민박업,제주특별자치도 제주시 조천읍 북촌리 565-1,북촌 리브,계획관리지역,126.6957018,33.5494647,5011025900,조천읍,5011025927,조천읍 북촌리
4938,농어촌민박업,,제주느낌,계획관리지역,123.7417741,32.5220203,,,,
4939,농어촌민박업,,be my isle II,계획관리지역,123.7417741,32.5220203,,,,
4940,농어촌민박업,제주특별자치도 제주시 구좌읍 동복리 484-8,할망꽃쉼팡 민박,,126.7231212,33.550598,5011025600,구좌읍,5011025621,구좌읍 동복리
4941,농어촌민박업,제주특별자치도 제주시 구좌읍 김녕리 3740,김녕 히든 플레이스 민박,,126.7469169,33.5573957,5011025600,구좌읍,5011025634,구좌읍 김녕리
4942,농어촌민박업,제주특별자치도 서귀포시 안덕면 사계리 1764-1,스테이더몽,계획관리지역,126.2984747,33.2318249,5013031000,안덕면,5013031025,안덕면 사계리
4943,농어촌민박업,,소소한 하루 민박,,123.7417741,32.5220203,,,,
4944,농어촌민박업,,하물 Stay,,123.7417741,32.5220203,,,,
4945,농어촌민박업,제주특별자치도 제주시 구좌읍 하도리 1914-1,하도에서 민박,,126.881263,33.5277574,5011025600,구좌읍,5011025631,구좌읍 하도리
4946,농어촌민박업,제주특별자치도 제주시 조천읍 조천리 2234-6,조천892,제2종일반주거지역,126.6368781,33.5343967,5011025900,조천읍,5011025923,조천읍 조천리
4947,농어촌민박업,제주특별자치도 제주시 조천읍 함덕리 1379-1,제주달빛,제2종일반주거지역,126.6645547,33.5401258,5011025900,조천읍,5011025924,조천읍 함덕리
4948,농어촌민박업,제주특별자치도 서귀포시 안덕면 창천리 786,휴일로풀빌라,계획관리지역,126.3664047,33.2323209,5013031000,안덕면,5013031022,안덕면 창천리
4949,농어촌민박업,,소길동백,관리지역,123.7417741,32.5220203,,,,
4950,농어촌민박업,제주특별자치도 제주시 애월읍 유수암리 884-25,리오애월,계획관리지역,126.4063389,33.4314189,5011025300,애월읍,5011025342,애월읍 유수암리
4951,농어촌민박업,제주특별자치도 제주시 애월읍 구엄리 725,애월 럭스하우스,자연녹지지역,126.3820546,33.4785981,5011025300,애월읍,5011025324,애월읍 구엄리
4952,농어촌민박업,제주특별자치도 제주시 애월읍 납읍리 2311-1,돌담집,계획관리지역,126.3285962,33.4338033,5011025300,애월읍,5011025335,애월읍 납읍리
4953,농어촌민박업,제주특별자치도 제주시 한림읍 명월리 349-1,어떤 제주,,126.2791842,33.3751315,5011025000,한림읍,5011025027,한림읍 명월리
4954,농어촌민박업,제주특별자치도 제주시 추자면 대서리 10-8,뿐이네민박,계획관리지역,126.2975154,33.9638603,5011032000,추자면,5011032021,추자면 대서리
4955,농어촌민박업,,금등첨화,계획관리지역,123.7417741,32.5220203,,,,
4956,농어촌민박업,제주특별자치도 제주시 추자면 영흥리 365-1,유심이민박,계획관리지역,126.2955904,33.9605704,5011032000,추자면,5011032022,추자면 영흥리
4957,농어촌민박업,제주특별자치도 제주시 구좌읍 하도리 1567-2,느낌표 민박,,126.8876657,33.5203948,5011025600,구좌읍,5011025631,구좌읍 하도리
4958,농어촌민박업,제주특별자치도 제주시 구좌읍 평대리 1958-7,조르바롯지 민박,,126.8391212,33.5355111,5011025600,구좌읍,5011025633,구좌읍 평대리
4959,농어촌민박업,,루나넬마레,계획관리지역,123.7417741,32.5220203,,,,
4960,농어촌민박업,제주특별자치도 서귀포시 표선면 하천리 2185-55,표선형아집,,126.8136209,33.3518805,5013032000,표선면,5013032022,표선면 하천리
4961,농어촌민박업,제주특별자치도 서귀포시 성산읍 신산리 1081-8,스톤스테이,자연취락지구,126.8746723,33.3788848,5013025900,성산읍,5013025927,성산읍 신산리
4962,농어촌민박업,제주특별자치도 제주시 조천읍 선흘리 1219-1,선흘림,계획관리지역,126.7051356,33.5074865,5011025900,조천읍,5011025930,조천읍 선흘리
4963,농어촌민박업,,평대 MOON's STAY 민박,,123.7417741,32.5220203,,,,
4964,농어촌민박업,제주특별자치도 제주시 애월읍 곽지리 1711-1,곽지집,관리지역,126.3090554,33.4478278,5011025300,애월읍,5011025337,애월읍 곽지리
4965,농어촌민박업,제주특별자치도 서귀포시 강정동 1960-1,가문유메,자연녹지,126.4917242,33.2545413,5013060000,대천동,5013011600,강정동
4966,농어촌민박업,제주특별자치도 제주시 애월읍 고내리 351-2 4호,애월 하루,,126.3479912,33.4719461,5011025300,애월읍,5011025333,애월읍 고내리
4967,농어촌민박업,제주특별자치도 제주시 애월읍 납읍리 997,사랑이네,,126.3375666,33.4381702,5011025300,애월읍,5011025335,애월읍 납읍리
4968,농어촌민박업,제주특별자치도 제주시 애월읍 하가리 94,펠롱스테이 in 애월,생산관리지역,126.3613109,33.4461134,5011025300,애월읍,5011025330,애월읍 하가리
4969,농어촌민박업,제주특별자치도 제주시 조천읍 선흘리 922,공간동백,계획관리지역,126.7145527,33.5089459,5011025900,조천읍,5011025930,조천읍 선흘리
4970,농어촌민박업,제주특별자치도 제주시 우도면 연평리 1770,슬기로운 우도생활,계획관리,126.950311,33.4957231,5011033000,우도면,5011033021,우도면 연평리
